,country,year,sex,age,suicides_no,population
0,48,1987,1,2,21,312900
1,48,1987,1,4,16,308000
2,48,1987,2,2,14,289700
3,48,1987,1,6,1,21800
4,48,1987,1,3,9,274300
5,48,1987,2,6,1,35600
6,48,1987,2,4,6,278800
7,48,1987,2,3,4,257200
8,48,1987,1,5,1,137500
9,48,1987,2,1,0,311000
10,48,1987,2,5,0,144600
11,48,1987,1,1,0,338200
12,48,1988,2,6,2,36400
13,48,1988,1,2,17,319200
14,48,1988,1,6,1,22300
15,48,1988,1,4,14,314100
16,48,1988,1,5,4,140200
17,48,1988,2,2,8,295600
18,48,1988,2,5,3,147500
19,48,1988,2,3,5,262400
20,48,1988,1,3,5,279900
21,48,1988,2,4,4,284500
22,48,1988,2,1,0,317200
23,48,1988,1,1,0,345000
24,48,1989,1,6,2,22500
25,48,1989,1,3,18,283600
26,48,1989,1,4,15,318400
27,48,1989,1,5,6,142100
28,48,1989,1,2,12,323500
29,48,1989,2,4,7,288600
30,48,1989,2,2,5,299900
31,48,1989,2,3,2,266300
32,48,1989,2,5,1,149600
33,48,1989,2,1,0,321900
34,48,1989,2,6,0,37000
35,48,1989,1,1,0,349700
36,48,1992,1,4,12,343800
37,48,1992,1,2,9,263700
38,48,1992,1,5,5,159500
39,48,1992,1,3,7,245500
40,48,1992,2,2,7,292400
41,48,1992,2,3,4,267400
42,48,1992,2,4,2,323100
43,48,1992,2,5,1,164900
44,48,1992,2,1,0,336700
45,48,1992,2,6,0,38700
46,48,1992,1,1,0,362900
47,48,1992,1,6,0,23900
48,48,1993,1,2,18,243300
49,48,1993,1,5,7,165000
50,48,1993,1,6,1,24200
51,48,1993,1,3,9,230100
52,48,1993,2,2,10,285300
53,48,1993,1,4,10,350300
54,48,1993,2,3,7,261800
55,48,1993,2,4,7,331200
56,48,1993,2,5,2,169500
57,48,1993,2,1,1,340300
58,48,1993,1,1,1,367000
59,48,1993,2,6,0,39300
60,48,1994,1,6,2,24600
61,48,1994,1,5,11,171400
62,48,1994,2,6,2,39900
63,48,1994,1,3,6,231400
64,48,1994,1,4,9,362800
65,48,1994,1,2,6,242200
66,48,1994,2,2,6,282600
67,48,1994,2,3,4,261100
68,48,1994,2,4,2,342500
69,48,1994,2,5,1,174600
70,48,1994,1,1,1,371800
71,48,1994,2,1,0,344400
72,48,1995,1,3,13,232900
73,48,1995,1,5,9,178000
74,48,1995,2,6,2,40800
75,48,1995,2,2,13,283500
76,48,1995,1,2,11,241200
77,48,1995,1,6,1,25100
78,48,1995,1,4,14,375900
79,48,1995,2,3,7,264000
80,48,1995,2,4,8,356400
81,48,1995,1,1,6,376500
82,48,1995,2,5,2,180400
83,48,1995,2,1,2,348700
84,48,1996,1,6,2,25400
85,48,1996,1,2,17,243600
86,48,1996,1,3,14,235300
87,48,1996,2,2,16,287700
88,48,1996,2,6,2,41200
89,48,1996,2,3,10,267900
90,48,1996,1,4,12,379600
91,48,1996,2,4,9,362000
92,48,1996,1,5,3,179900
93,48,1996,2,5,1,183100
94,48,1996,1,1,2,380400
95,48,1996,2,1,1,354100
96,48,1997,1,3,36,236000
97,48,1997,1,2,33,244400
98,48,1997,1,6,3,25400
99,48,1997,1,4,30,380800
100,48,1997,2,2,21,294000
101,48,1997,1,5,12,180300
102,48,1997,2,3,16,273900
103,48,1997,2,6,2,42100
104,48,1997,2,4,7,370100
105,48,1997,2,1,6,361800
106,48,1997,1,1,4,381500
107,48,1997,2,5,0,187000
108,48,1998,1,6,3,25800
109,48,1998,1,2,27,248800
110,48,1998,2,2,32,295600
111,48,1998,1,3,26,240400
112,48,1998,1,4,29,388200
113,48,1998,1,5,9,183800
114,48,1998,2,3,10,275300
115,48,1998,2,5,6,188200
116,48,1998,2,4,9,372100
117,48,1998,1,1,2,388400
118,48,1998,2,1,1,363800
119,48,1998,2,6,0,42300
120,48,1999,1,6,3,25900
121,48,1999,1,2,24,250600
122,48,1999,2,6,4,42400
123,48,1999,1,4,31,391100
124,48,1999,1,3,19,242300
125,48,1999,1,5,14,185200
126,48,1999,2,2,19,296800
127,48,1999,2,3,13,276500
128,48,1999,2,5,6,188800
129,48,1999,2,4,5,373600
130,48,1999,2,1,1,365200
131,48,1999,1,1,0,391300
132,48,2000,1,3,17,232000
133,48,2000,1,5,10,177400
134,48,2000,2,6,2,37800
135,48,2000,1,6,1,24900
136,48,2000,2,2,6,263900
137,48,2000,1,2,5,240000
138,48,2000,2,4,5,332200
139,48,2000,2,3,3,245800
140,48,2000,1,4,4,374700
141,48,2000,1,1,1,374900
142,48,2000,2,1,0,324700
143,48,2000,2,5,0,168000
144,48,2001,1,3,22,206484
145,48,2001,1,4,34,378826
146,48,2001,1,5,11,196670
147,48,2001,2,6,2,47254
148,48,2001,1,2,10,256039
149,48,2001,2,2,9,271359
150,48,2001,2,4,12,370191
151,48,2001,1,6,1,31044
152,48,2001,2,5,6,189799
153,48,2001,1,1,6,321556
154,48,2001,2,3,4,222771
155,48,2001,2,1,2,307356
156,48,2002,1,6,4,31007
157,48,2002,1,3,23,206286
158,48,2002,1,4,35,382139
159,48,2002,1,5,13,198130
160,48,2002,1,2,15,263067
161,48,2002,2,2,14,275970
162,48,2002,2,4,15,375113
163,48,2002,2,3,7,223685
164,48,2002,2,6,1,47407
165,48,2002,2,5,4,191712
166,48,2002,2,1,1,304850
167,48,2002,1,1,1,319473
168,48,2003,2,6,6,49088
169,48,2003,1,5,16,201520
170,48,2003,1,4,28,386196
171,48,2003,1,2,15,273235
172,48,2003,2,2,14,283709
173,48,2003,2,5,9,195699
174,48,2003,1,3,9,205433
175,48,2003,2,3,9,222941
176,48,2003,2,4,13,381760
177,48,2003,1,6,1,32667
178,48,2003,1,1,4,313204
179,48,2003,2,1,0,298477
180,48,2004,1,6,4,35526
181,48,2004,1,4,39,391767
182,48,2004,1,3,16,203938
183,48,2004,2,2,20,292268
184,48,2004,1,2,19,286768
185,48,2004,2,6,3,50970
186,48,2004,2,3,11,222389
187,48,2004,1,5,10,207202
188,48,2004,2,4,17,391436
189,48,2004,2,5,3,203841
190,48,2004,2,1,3,286705
191,48,2004,1,1,1,302181
192,48,2005,2,2,0,281922
193,48,2005,2,3,0,190745
194,48,2005,2,4,0,386513
195,48,2005,2,1,0,276559
196,48,2005,2,5,0,210998
197,48,2005,2,6,0,53191
198,48,2005,1,2,0,281675
199,48,2005,1,3,0,177519
200,48,2005,1,4,0,380242
201,48,2005,1,1,0,291367
202,48,2005,1,5,0,214118
203,48,2005,1,6,0,38471
204,48,2006,2,2,0,283138
205,48,2006,2,3,0,186391
206,48,2006,2,4,0,388746
207,48,2006,2,1,0,267316
208,48,2006,2,5,0,215907
209,48,2006,2,6,0,56011
210,48,2006,1,2,0,286679
211,48,2006,1,3,0,174092
212,48,2006,1,4,0,379076
213,48,2006,1,1,0,282678
214,48,2006,1,5,0,219360
215,48,2006,1,6,0,40782
216,48,2007,1,6,8,42366
217,48,2007,1,4,29,378626
218,48,2007,1,5,14,224160
219,48,2007,2,6,3,57404
220,48,2007,1,3,9,172494
221,48,2007,2,2,13,281080
222,48,2007,1,2,13,288349
223,48,2007,2,3,8,183629
224,48,2007,2,5,9,221120
225,48,2007,2,4,14,391811
226,48,2007,1,1,4,272497
227,48,2007,2,1,0,256808
228,48,2008,1,3,21,172855
229,48,2008,1,4,37,377119
230,48,2008,1,5,21,228672
231,48,2008,2,6,5,59369
232,48,2008,2,2,20,276073
233,48,2008,2,3,9,182663
234,48,2008,2,4,19,393832
235,48,2008,1,6,2,44574
236,48,2008,1,2,11,286702
237,48,2008,2,5,7,226448
238,48,2008,1,1,7,262464
239,48,2008,2,1,1,246288
240,48,2009,2,2,0,270003
241,48,2009,2,3,0,182712
242,48,2009,2,4,0,394286
243,48,2009,2,1,0,236174
244,48,2009,2,5,0,233302
245,48,2009,2,6,0,61582
246,48,2009,1,2,0,283448
247,48,2009,1,3,0,174955
248,48,2009,1,4,0,374365
249,48,2009,1,1,0,253007
250,48,2009,1,5,0,234570
251,48,2009,1,6,0,47331
252,48,2010,1,5,20,241852
253,48,2010,1,4,20,371611
254,48,2010,1,3,9,179720
255,48,2010,1,6,2,50767
256,48,2010,1,2,10,279508
257,48,2010,2,3,6,183579
258,48,2010,2,6,2,64415
259,48,2010,2,4,12,394593
260,48,2010,2,5,7,241491
261,48,2010,2,2,6,263581
262,48,2010,2,1,2,223969
263,48,2010,1,1,0,240939
264,98,1985,2,2,0,7709
265,98,1985,2,3,0,6344
266,98,1985,2,4,0,6173
267,98,1985,2,1,0,7339
268,98,1985,2,5,0,3778
269,98,1985,2,6,0,949
270,98,1985,1,2,0,7667
271,98,1985,1,3,0,6194
272,98,1985,1,4,0,5970
273,98,1985,1,1,0,7304
274,98,1985,1,5,0,2723
275,98,1985,1,6,0,424
276,98,1986,2,2,0,7668
277,98,1986,2,3,0,6209
278,98,1986,2,4,0,6101
279,98,1986,2,1,0,6907
280,98,1986,2,5,0,3764
281,98,1986,2,6,0,1014
282,98,1986,1,2,0,7563
283,98,1986,1,3,0,6023
284,98,1986,1,4,0,5947
285,98,1986,1,1,0,6827
286,98,1986,1,5,0,2771
287,98,1986,1,6,0,476
288,98,1987,2,2,0,7583
289,98,1987,2,3,0,6101
290,98,1987,2,4,0,6059
291,98,1987,2,1,0,6623
292,98,1987,2,5,0,3738
293,98,1987,2,6,0,1081
294,98,1987,1,2,0,7421
295,98,1987,1,3,0,5893
296,98,1987,1,4,0,5927
297,98,1987,1,1,0,6499
298,98,1987,1,5,0,2798
299,98,1987,1,6,0,538
300,98,1988,2,2,0,7413
301,98,1988,2,3,0,6041
302,98,1988,2,4,0,6021
303,98,1988,2,1,0,6527
304,98,1988,2,5,0,3708
305,98,1988,2,6,0,1141
306,98,1988,1,2,0,7209
307,98,1988,1,3,0,5826
308,98,1988,1,4,0,5907
309,98,1988,1,1,0,6355
310,98,1988,1,5,0,2813
311,98,1988,1,6,0,603
312,98,1989,2,2,0,7152
313,98,1989,2,3,0,6059
314,98,1989,2,4,0,5969
315,98,1989,2,1,0,6621
316,98,1989,2,5,0,3696
317,98,1989,2,6,0,1195
318,98,1989,1,2,0,6927
319,98,1989,1,3,0,5835
320,98,1989,1,4,0,5862
321,98,1989,1,1,0,6403
322,98,1989,1,5,0,2843
323,98,1989,1,6,0,676
324,98,1990,1,4,1,5799
325,98,1990,2,2,0,6827
326,98,1990,2,3,0,6172
327,98,1990,2,4,0,5895
328,98,1990,2,1,0,6877
329,98,1990,2,5,0,3706
330,98,1990,2,6,0,1252
331,98,1990,1,2,0,6598
332,98,1990,1,3,0,5937
333,98,1990,1,1,0,6611
334,98,1990,1,5,0,2902
335,98,1990,1,6,0,758
336,98,1991,2,2,0,6595
337,98,1991,2,3,0,6396
338,98,1991,2,4,0,6198
339,98,1991,2,1,0,7089
340,98,1991,2,5,0,3665
341,98,1991,2,6,0,1293
342,98,1991,1,2,0,6401
343,98,1991,1,3,0,6156
344,98,1991,1,4,0,6122
345,98,1991,1,1,0,6818
346,98,1991,1,5,0,2857
347,98,1991,1,6,0,804
348,98,1992,2,2,0,6369
349,98,1992,2,3,0,6650
350,98,1992,2,4,0,6534
351,98,1992,2,1,0,7311
352,98,1992,2,5,0,3648
353,98,1992,2,6,0,1339
354,98,1992,1,2,0,6221
355,98,1992,1,3,0,6409
356,98,1992,1,4,0,6497
357,98,1992,1,1,0,7059
358,98,1992,1,5,0,2851
359,98,1992,1,6,0,853
360,98,1993,1,3,1,6668
361,98,1993,2,2,0,6182
362,98,1993,2,3,0,6914
363,98,1993,2,4,0,6917
364,98,1993,2,1,0,7529
365,98,1993,2,5,0,3662
366,98,1993,2,6,0,1386
367,98,1993,1,2,0,6069
368,98,1993,1,4,0,6915
369,98,1993,1,1,0,7298
370,98,1993,1,5,0,2879
371,98,1993,1,6,0,896
372,98,1994,2,2,0,6083
373,98,1994,2,3,0,7151
374,98,1994,2,4,0,7357
375,98,1994,2,1,0,7722
376,98,1994,2,5,0,3715
377,98,1994,2,6,0,1437
378,98,1994,1,2,0,5976
379,98,1994,1,3,0,6886
380,98,1994,1,4,0,7359
381,98,1994,1,1,0,7494
382,98,1994,1,5,0,2935
383,98,1994,1,6,0,929
384,98,1995,2,2,0,6099
385,98,1995,2,3,0,7333
386,98,1995,2,4,0,7851
387,98,1995,2,1,0,7885
388,98,1995,2,5,0,3808
389,98,1995,2,6,0,1488
390,98,1995,1,2,0,5953
391,98,1995,1,3,0,7023
392,98,1995,1,4,0,7809
393,98,1995,1,1,0,7632
394,98,1995,1,5,0,3021
395,98,1995,1,6,0,944
396,98,1998,2,2,0,6529
397,98,1998,2,3,0,8332
398,98,1998,2,4,0,9615
399,98,1998,2,1,0,8183
400,98,1998,2,5,0,3921
401,98,1998,2,6,0,1476
402,98,1998,1,2,0,5916
403,98,1998,1,3,0,7294
404,98,1998,1,4,0,9086
405,98,1998,1,1,0,7706
406,98,1998,1,5,0,3213
407,98,1998,1,6,0,954
408,98,1999,2,2,0,6589
409,98,1999,2,3,0,8526
410,98,1999,2,4,0,10311
411,98,1999,2,1,0,8314
412,98,1999,2,5,0,3968
413,98,1999,2,6,0,1451
414,98,1999,1,2,0,5845
415,98,1999,1,3,0,7263
416,98,1999,1,4,0,9537
417,98,1999,1,1,0,7805
418,98,1999,1,5,0,3276
419,98,1999,1,6,0,947
420,98,2000,1,5,1,3333
421,98,2000,1,4,1,10033
422,98,2000,2,2,0,6616
423,98,2000,2,3,0,8595
424,98,2000,2,4,0,11040
425,98,2000,2,1,0,8439
426,98,2000,2,5,0,3986
427,98,2000,2,6,0,1413
428,98,2000,1,2,0,5783
429,98,2000,1,3,0,7177
430,98,2000,1,1,0,7973
431,98,2000,1,6,0,938
432,98,2001,1,4,2,10281
433,98,2001,2,2,0,6902
434,98,2001,2,3,0,8425
435,98,2001,2,4,0,11402
436,98,2001,2,1,0,8428
437,98,2001,2,5,0,4037
438,98,2001,2,6,0,1487
439,98,2001,1,2,0,6084
440,98,2001,1,3,0,7071
441,98,2001,1,1,0,7958
442,98,2001,1,5,0,3442
443,98,2001,1,6,0,980
444,98,2002,2,2,0,7196
445,98,2002,2,3,0,8155
446,98,2002,2,4,0,11760
447,98,2002,2,1,0,8408
448,98,2002,2,5,0,4050
449,98,2002,2,6,0,1547
450,98,2002,1,2,0,6416
451,98,2002,1,3,0,6921
452,98,2002,1,4,0,10604
453,98,2002,1,1,0,7980
454,98,2002,1,5,0,3527
455,98,2002,1,6,0,1024
456,98,2003,1,5,1,3594
457,98,2003,2,2,0,7454
458,98,2003,2,3,0,7831
459,98,2003,2,4,0,12129
460,98,2003,2,1,0,8423
461,98,2003,2,5,0,4054
462,98,2003,2,6,0,1583
463,98,2003,1,2,0,6730
464,98,2003,1,3,0,6734
465,98,2003,1,4,0,10997
466,98,2003,1,1,0,8061
467,98,2003,1,6,0,1068
468,98,2004,1,5,1,3665
469,98,2004,1,4,1,11406
470,98,2004,2,2,0,7648
471,98,2004,2,3,0,7531
472,98,2004,2,4,0,12492
473,98,2004,2,1,0,8488
474,98,2004,2,5,0,4088
475,98,2004,2,6,0,1590
476,98,2004,1,2,0,6968
477,98,2004,1,3,0,6556
478,98,2004,1,1,0,8196
479,98,2004,1,6,0,1094
480,98,2005,2,2,0,7780
481,98,2005,2,3,0,7327
482,98,2005,2,4,0,12835
483,98,2005,2,1,0,8584
484,98,2005,2,5,0,4157
485,98,2005,2,6,0,1575
486,98,2005,1,2,0,7113
487,98,2005,1,3,0,6444
488,98,2005,1,4,0,11778
489,98,2005,1,1,0,8358
490,98,2005,1,5,0,3748
491,98,2005,1,6,0,1110
492,98,2006,2,2,0,7902
493,98,2006,2,3,0,7098
494,98,2006,2,4,0,13374
495,98,2006,2,1,0,8571
496,98,2006,2,5,0,4256
497,98,2006,2,6,0,1573
498,98,2006,1,2,0,7239
499,98,2006,1,3,0,6319
500,98,2006,1,4,0,12202
501,98,2006,1,1,0,8485
502,98,2006,1,5,0,3847
503,98,2006,1,6,0,1107
504,98,2007,1,4,1,12530
505,98,2007,2,2,0,8013
506,98,2007,2,3,0,6962
507,98,2007,2,4,0,13860
508,98,2007,2,1,0,8555
509,98,2007,2,5,0,4400
510,98,2007,2,6,0,1568
511,98,2007,1,2,0,7330
512,98,2007,1,3,0,6267
513,98,2007,1,1,0,8564
514,98,2007,1,5,0,3988
515,98,2007,1,6,0,1094
516,98,2008,2,2,0,8108
517,98,2008,2,3,0,6910
518,98,2008,2,4,0,14278
519,98,2008,2,1,0,8537
520,98,2008,2,5,0,4587
521,98,2008,2,6,0,1567
522,98,2008,1,2,0,7404
523,98,2008,1,3,0,6274
524,98,2008,1,4,0,12782
525,98,2008,1,1,0,8599
526,98,2008,1,5,0,4158
527,98,2008,1,6,0,1069
528,98,2009,2,2,0,8199
529,98,2009,2,3,0,6917
530,98,2009,2,4,0,14629
531,98,2009,2,1,0,8514
532,98,2009,2,5,0,4793
533,98,2009,2,6,0,1571
534,98,2009,1,2,0,7489
535,98,2009,1,3,0,6325
536,98,2009,1,4,0,12978
537,98,2009,1,1,0,8599
538,98,2009,1,5,0,4349
539,98,2009,1,6,0,1042
540,98,2012,2,2,0,8435
541,98,2012,2,3,0,7215
542,98,2012,2,4,0,15193
543,98,2012,2,1,0,8401
544,98,2012,2,5,0,5512
545,98,2012,2,6,0,1625
546,98,2012,1,2,0,7893
547,98,2012,1,3,0,6629
548,98,2012,1,4,0,13280
549,98,2012,1,1,0,8475
550,98,2012,1,5,0,4994
551,98,2012,1,6,0,1051
552,98,2013,2,2,0,8494
553,98,2013,2,3,0,7397
554,98,2013,2,4,0,15236
555,98,2013,2,1,0,8353
556,98,2013,2,5,0,5787
557,98,2013,2,6,0,1652
558,98,2013,1,2,0,8061
559,98,2013,1,3,0,6782
560,98,2013,1,4,0,13302
561,98,2013,1,1,0,8405
562,98,2013,1,5,0,5238
563,98,2013,1,6,0,1072
564,98,2014,2,2,0,8537
565,98,2014,2,3,0,7578
566,98,2014,2,4,0,15273
567,98,2014,2,1,0,8296
568,98,2014,2,5,0,6085
569,98,2014,2,6,0,1686
570,98,2014,1,2,0,8208
571,98,2014,1,3,0,6928
572,98,2014,1,4,0,13325
573,98,2014,1,1,0,8335
574,98,2014,1,5,0,5503
575,98,2014,1,6,0,1083
